Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31schRC02FINpizjT8yJqx,"היא יושבה לחלון","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,204000,16,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.41,0.186,3,-19.12,0,0.0328,0.912,0.489,0.182,0.275,133.532,4
spotify:track:4Sj7lC0XT70SZBxWxj3rXk,"חמוש במשקפיים","המיטב","Arik Einstein;Miki Gavrielov",2015-03-10,219160,6,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.447,0.109,11,-20.745,0,0.0357,0.649,0.00164,0.112,0.101,123.441,4
spotify:track:7aDEBLRS1oi3uTRFaIlMge,"יושב על הגדר","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,235866,13,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.634,0.539,5,-10.856,1,0.0282,0.0367,0.000207,0.073,0.435,150.054,4
spotify:track:7DjisTxVTXXWPIwIJ7l7sp,"טירוף במה","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,341300,7,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.608,0.76,7,-10.361,1,0.0342,0.192,0,0.217,0.786,106.433,4
spotify:track:0gG7GugNxT0sXNxUhUWyWp,"מבלי להפריע","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,269000,7,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.67,0.366,9,-15.029,0,0.0297,0.00171,0.00791,0.075,0.185,122.647,4
spotify:track:6fuxW5xT4j9NqhhRb6sLLS,"בוקר טוב, אמיר","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,221200,6,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.642,0.29,4,-16.094,0,0.0279,0.757,0.198,0.0936,0.267,98.926,4
spotify:track:5mKYf26wfLISLrNGh4cS5H,"בשבחי הסמבה","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,311986,9,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.733,0.529,2,-10.727,1,0.0411,0.603,0.000904,0.118,0.692,141.613,4
spotify:track:4bHgVbkF8dI7Jks9toQ4uW,"שביר","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,219000,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.729,0.512,2,-13.078,1,0.0284,0.00208,0.0408,0.242,0.933,124.958,4
spotify:track:4Rc9IceHaxDyWax23fWGAc,"פנים טובות בתוך החשכה","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,223133,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.693,0.305,9,-15.557,1,0.0343,0.615,0.0000124,0.278,0.258,138.596,4
spotify:track:6mWsvxRF59lqlugrnqWZJ2,"יד אחת עושה את זה","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,208533,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.672,0.554,2,-12.298,0,0.0294,0.00193,0,0.0553,0.963,148.872,4
spotify:track:4kt9MX3g3lD3ePmxGoiinY,"אולי צריך לתת לזה עוד זמן","המיטב","Arik Einstein;Itzhak Klepter",2015-03-10,261893,13,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.626,0.378,8,-13.42,0,0.0269,0.443,0.00000252,0.108,0.325,133.281,4
spotify:track:7jp504ccZurkKfAMfISMg2,"אהובתי שלי לבנת הצואר","המיטב","Arik Einstein",2015-03-10,166893,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.406,0.469,6,-8.395,1,0.0293,0.875,0.00000247,0.0985,0.174,92.653,4
spotify:track:0zz0iGcFF3Mb5h284v0Dua,"איילת אהבים","המיטב","Arik Einstein;Yehudit Ravitz",2015-03-10,183826,7,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.763,0.216,2,-16.478,0,0.0391,0.792,0,0.0813,0.154,108.382,4
spotify:track:4e8mHVCJveIa9zj2FFoTsI,"עוד נפגש","המיטב","Arik Einstein",2015-03-10,258000,25,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.695,0.33,8,-17.244,0,0.0445,0.275,0.0000178,0.0444,0.31,140.608,4
spotify:track:5tjFVCQlbLfAIt050kRJgP,"ארץ ישראל","המיטב","Arik Einstein",2015-03-10,218000,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.599,0.187,7,-16.01,0,0.0286,0.446,0,0.0792,0.393,97.108,4
spotify:track:2QFjwC9JhF2kHPQAMXobeO,"העיר הלבנה","המיטב","Arik Einstein",2015-03-10,210000,9,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.481,0.165,7,-15.05,0,0.031,0.831,0,0.127,0.321,108.117,3
spotify:track:7KJBD4wuumbpcUwgpdUQc8,"פסק זמן","המיטב","Arik Einstein",2015-03-10,242306,20,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.551,0.419,2,-11.483,1,0.0614,0.947,0.0192,0.114,0.285,138.913,4
spotify:track:4MEt2FKqEarUvkrvIiQJPG,"הוא חזר בתשובה","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,287493,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.637,0.248,2,-13.811,0,0.0282,0.346,0.00554,0.102,0.105,108.181,4
spotify:track:5AFxvWotp0LteFvEqkRT0g,"שלוש ארבע לעבודה","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,171506,9,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.712,0.924,2,-8.248,1,0.13,0.281,0,0.132,0.753,143.388,4
spotify:track:11GQwmPT2fRI1NRmZp7oko,"זה בראש שלך","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,293000,8,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.744,0.669,0,-10.171,1,0.0353,0.643,0.0000203,0.275,0.904,147.453,4
spotify:track:6MsX2dO4DHO7hdKcRB05QL,"תוצרת הארץ","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,214066,17,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.557,0.539,2,-11.47,1,0.0613,0.258,0,0.103,0.81,118.509,3
spotify:track:6Vr6MHfFF1i6W72pbhsKa7,"שולמית","המיטב","Arik Einstein;Shem-Tov Levy",2015-03-10,278333,5,false,214vhfcvcyfy3bjzzggofioyy,2026-02-12T14:47:00Z,"mizrahi","NMC United Entertainment Ltd.",0.524,0.517,4,-12.346,0,0.0437,0.233,0,0.0809,0.65,169.399,4
